"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"HouseIndividual",,"1","For Rent - Flat & Apartment","18000","2","Ground",,"1","Flat at lokanthali","Lokanthali Police, Madhyapur Thimi-1, Bhaktapur","27.674640655517578","85.35855102539062"
"Bunglow",,"3","For Sale - House","40000000","5","3","2","3","Dhapakhel house 6 ana","Location","27.639938354492188","85.32393646240234"
"Land - Individual",,,"For Sale - Land","450000",,,,,"Most Beautiful property for sale","Location","27.587570190429688","85.5157470703125"
"House - Individual",,"2","For Rent - House","70000","3","1","1","1","3Bhk Flat For Rent At kupondol lalitpur","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"1","For Rent - Flat & Apartment","18000","1","1",,"1","Flat available at sanchal, sanepa, lalitpur.","Location","27.690446853637695","85.30301666259766"
"ApartmentBuilding",,"2","For Rent - Flat & Apartment","90000","2","3",,"1","JHAMSIKHEL – 2BHK FURNISHED APARTMENT FOR RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"ApartmentBuilding",,"3","For Rent - Flat & Apartment","175000","3","3",,"1","📍 JHAMSIKHEL | 3 BHK FURNISHED APARTMENT FOR RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"ApartmentBuilding",,"4","For Rent - Flat & Apartment","150000","4","3",,"1","📍 SUNAKOTHI – FULLY FURNISHED HOUSE FOR RENT","Sunakothi, Lalitpur-25, Lalitpur","27.6345157623291","85.31547546386719"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","100000","1","2",,"1","📍 JHAMSIKHEL | 1 BHK FURNISHED APARTMENT FOR RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"Land - Plotted",,,"For Sale - Land","1700000",,,,,"LAND ON SALE AT BISTACHAP","Location","27.702136993408203","85.32784271240234"
